,CEP Estab
33728,52091010
33734,50810495
33747,56308210
33821,56304060
33847,56903500
33872,51030420
33873,50721000
33874,52060210
33875,53140000
33898,52050340
33930,51030410
33960,55150001
33970,54330530
34058,53431495
34074,55192390
34102,56516100
34212,51030580
34226,53030210
34281,55028240
34282,55012690
34381,55192025
34494,55192200
34509,56316545
34536,50721640
34542,55190359
34547,55496970
34562,55192566
34587,51020120
34588,52040450
34649,54220140
34761,54400340
34869,51021090
34935,55195051
34950,54250000
34968,55010430
34973,53401680
34979,50870015
34991,56505480
34992,56506450
35011,56500000
35037,54756090
35079,56506917
35088,52011060
35094,50060200
35097,56330290
35109,53130250
35123,54400450
35137,56506400
35173,55642160
35182,53020080
35183,53409060
35195,52160480
35197,55004070
35257,55643000
35274,54420160
35277,52171022
35291,52131150
35331,51020270
35343,51021100
35344,52060110
35363,52011110
35374,55602270
35379,55026205
35423,55004161
35438,50020130
35440,55194420
35445,55192572
35460,55018570
35473,51280400
35482,55199970
35543,51020180
35563,56906073
35577,55002350
35586,52030165
35614,56306610
35626,51021200
35668,54518080
35669,50761100
35712,50711050
35776,55192410
35799,54410512
35805,55002190
35815,55168000
35818,55194312
35819,51011190
35876,55602152
35881,55195042
35882,56328270
35922,50740090
35944,55192435
35956,55012030
35964,55643465
35969,55644190
36004,55006110
36021,50720230
36045,55010590
36047,52080130
36085,50710090
36120,54250370
36176,53401971
36178,55026210
36202,55190368
36237,53110120
36281,54505540
36289,50610120
36297,55008010
36359,53605520
36367,50771060
36453,50980510
36466,54400280
36506,50680070
36583,54400620
36611,53401445
36612,56328080
36613,56302350
36687,54762000
36690,56506660
36701,55813820
36793,54759475
36794,50751020
36819,54330320
36831,54400180
36833,52171130
36840,50020055
36890,51011900
36908,54730000
36911,52291256
36922,51170600
37121,51220040
37210,50030290
37214,52041045
37216,50010921
37223,50910300
37293,51170150
37297,51020220
37302,56512670
37330,55192509
37338,56304040
37340,55192630
37341,55192581
37344,55192593
37409,53610595
37429,54520140
37546,55158090
37587,54440620
37725,54735320
37765,51170440
37777,53320085
37842,55641120
37852,55150190
37882,55038530
37890,55150030
37923,52081100
37931,55153005
37934,55016365
37939,53030240
37942,51210010
37949,50950200
37966,55036180
38015,51010200
38029,50711280
38082,51150330
38127,55152110
38154,55006120
38156,56912585
38197,55045015
38203,56330095
38230,50865180
38233,50070255
38236,55004210
38272,50750050
38285,55296650
38296,50730600
38299,53260640
38300,51130080
38327,50751390
38333,54440310
38336,54400360
38365,51160310
38367,50030370
38372,51220100
38373,55612235
38375,50750630
38395,54789530
38404,53625815
38415,50680200
38428,53510290
38508,52031380
38516,56308438
38547,55190329
38549,55195009
38551,55193566
38554,55192275
38575,55190556
38598,55195509
38615,55195572
38616,55195527
38618,55195683
38675,51350250
38690,56304340
38695,56510430
38704,54789560
38706,50830380
38762,56903240
38776,54580645
38787,53413150
38792,54525315
38807,51030200
38820,51030021
38828,51130290
38837,51230090
38842,54420170
38867,50070440
38879,55295105
38926,55155580
38927,55150340
38962,54505970
38999,55034420
39003,55150170
39006,55150240
39007,55155710
39030,53130635
39070,50770120
39113,55016400
39165,50770460
39220,55014045
39222,54410320
39228,56506650
39233,51180130
39256,55032170
39306,52071200
39313,54320460
39317,55026545
39327,51190738
39359,51170070
39396,55016620
39401,55004090
39426,56304470
39444,55195232
39446,55192617
39449,55192596
39450,55190603
39451,55195611
39494,55194100
39508,54400420
39511,55192285
39566,54420310
39567,50100040
39609,56912250
39620,55293015
39628,54510390
39642,51240550
39663,54410322
39667,50780300
39680,50720100
39695,50610150
39696,50070475
39775,55296280
39785,55645120
39792,51110900
39830,55642020
39834,55194230
39841,52050220
39849,50740290
39867,55155620
39891,52280040
39899,53413195
39904,51275180
39921,51030740
39932,51030755
39937,55016700
39950,53530620
39968,53550080
39989,54220070
40014,52040221
40025,55815100
40090,53660000
40107,50860900
40109,50751090
40146,54325035
40188,55038510
40234,54400110
40237,53433280
40256,52020190
40301,54735230
40319,50010170
40372,55192545
40401,55192315
40402,55190597
40407,55612285
40415,55618000
40428,55641130
40434,56330545
40435,56304919
40436,56322720
40497,52110120
40500,56903380
40505,54345532
40520,51021500
40536,53030080
40590,50740360
40616,55155000
40634,56320795
40641,51200180
40657,52070180
40666,55155020
40707,55193530
40759,55155720
40760,55158340
40780,56508255
40804,53320105
40815,50060140
40852,56328903
40961,55819903
40970,55150210
40979,52041760
40991,54505470
40992,54580340
40995,55641100
41016,56906100
41044,52041695
41045,54735796
41055,54100680
41116,54400020
41125,55002000
41153,50950050
41171,50060280
41240,54310180
41248,55194363
41272,50731430
41279,55194080
41281,53240460
41306,55194121
41328,55194324
41332,55195722
41339,55194430
